,datetime,instrument,score,exp_name,rid,weight,real_label,error,abs_error
49,2026-03-18,SZ002625,-0.03264715522527695,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
50,2026-03-18,SZ002601,0.03720913454890251,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
51,2026-03-18,SZ002600,0.04834063723683357,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
52,2026-03-18,SZ002594,-0.045096319168806076,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
53,2026-03-18,SZ002493,0.021726161241531372,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
54,2026-03-18,SZ002475,0.02542465180158615,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
55,2026-03-18,SZ002466,0.06637446582317352,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
56,2026-03-18,SZ002463,-0.04079127311706543,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
57,2026-03-18,SZ002460,0.058982573449611664,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
58,2026-03-18,SZ002459,0.03423284739255905,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
59,2026-03-18,SZ002422,0.0655115395784378,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
60,2026-03-18,SZ002938,0.04836328327655792,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
61,2026-03-18,SZ300628,-0.031063087284564972,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
62,2026-03-18,SZ003816,0.10364116728305817,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
63,2026-03-18,SZ300015,0.006639799568802118,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
64,2026-03-18,SZ300498,0.03477973863482475,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
65,2026-03-18,SZ300476,0.0013205804862082005,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
66,2026-03-18,SZ300442,,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
67,2026-03-18,SZ300433,0.027879711240530014,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
68,2026-03-18,SZ300418,0.0036211328115314245,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
69,2026-03-18,SZ300413,0.049345050007104874,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
70,2026-03-18,SZ300408,0.013450807891786098,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
71,2026-03-18,SZ300394,-0.1306522786617279,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
72,2026-03-18,SZ300347,0.015800416469573975,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
73,2026-03-18,SZ300316,-0.02107764594256878,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
74,2026-03-18,SZ300308,0.009674887172877789,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
75,2026-03-18,SZ300274,0.0024934501852840185,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
76,2026-03-18,SZ300251,0.23143050074577332,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
77,2026-03-18,SZ300124,0.03031408227980137,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
78,2026-03-18,SZ300122,-0.001657046377658844,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
79,2026-03-18,SZ300059,0.013677943497896194,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
80,2026-03-18,SZ300033,-0.011983538046479225,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
81,2026-03-18,SZ300014,0.024775858968496323,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
82,2026-03-18,SZ002415,0.039034806191921234,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,10a152f164cb4a0ab761447920e96d36,0.044,,,
83,2026-03-18,SH600150,-0.01321878656744957,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
84,2026-03-18,SH600161,-0.06761197745800018,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
85,2026-03-18,SH601058,-0.020231008529663086,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
86,2026-03-18,SH601021,0.013457534834742546,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
87,2026-03-18,SH601018,0.05537373945116997,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
88,2026-03-18,SH601012,0.024943457916378975,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
89,2026-03-18,SH601009,0.0530998632311821,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
90,2026-03-18,SH601006,0.017382699996232986,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
91,2026-03-18,SH600999,-0.06947038322687149,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
92,2026-03-18,SH600989,0.037813786417245865,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
93,2026-03-18,SH600958,-0.027717849239706993,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
94,2026-03-18,SH600941,0.06039051711559296,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
95,2026-03-18,SH600938,0.0052411253564059734,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
96,2026-03-18,SH600930,-0.01579137332737446,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
97,2026-03-18,SH600926,0.047421447932720184,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
98,2026-03-18,SH600919,0.08953503519296646,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
99,2026-03-18,SH600918,0.01807752065360546,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
100,2026-03-18,SH600905,0.04579848796129227,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
101,2026-03-18,SH600900,0.07410328090190887,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
102,2026-03-18,SH601059,,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
103,2026-03-18,SH600893,-0.035998716950416565,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
104,2026-03-18,SH601066,-0.005228061228990555,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
105,2026-03-18,SH601088,0.021227486431598663,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
106,2026-03-18,SH601318,-0.013225603848695755,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
107,2026-03-18,SH601298,0.016445063054561615,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
108,2026-03-18,SH601288,0.008553671650588512,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
109,2026-03-18,SH601238,-0.04112843796610832,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
110,2026-03-18,SH601236,0.04388793557882309,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
111,2026-03-18,SH601229,0.04438186436891556,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
112,2026-03-18,SH601225,-0.007898116484284401,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260317_12,f1de8842a23d431b8925acf17d8586e9,0.056,,,
